"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"43",106.27703,114.175962,120.45385,147.252725,173.022655,184.301847,189.159245,208.143225,218.95252,229.2667485,243.9818695,308.9756685,322.7968835,329.4772385,339.7565335,350.9590255,408.5613075,466.6608455,472.6975685,517.057136,521.060693,538.161287,543.967252,567.235112,666.425172,669.386172,678.352997,683.271477,738.465147,749.282738,785.76847
"44",101.61326,109.750153,118.914735,160.587105,180.918095,188.676725,196.736885,210.603405,218.445074,228.193435,248.686737,307.934295,318.597225,325.48482,345.791365,359.045568,385.254815,452.773285,455.775222,514.777346,520.081627,524.81323,532.670657,556.38486,638.52184,641.44567,651.272234,653.9284295,703.5769875,722.5090175,744.941397
"45",103.7599325,118.4678125,128.1670035,154.6812475,186.1447775,203.8817375,210.1699775,230.4088175,237.9296971,252.2996735,271.5553985,311.4937385,319.3332435,332.9332435,346.6819155,349.69991,388.2538915,446.5775075,450.9344735,495.4518825,506.6158725,518.4690925,535.0496325,561.4512675,658.1167225,660.3685685,668.9377575,672.6706255,723.8827325,743.3999225,760.5983185
"46",150.01414,163.170375,172.376275,200.589884,208.470405,210.434199,211.65708,228.41179,234.0103846,241.0089578,253.320809,303.294402,322.011912,343.466822,354.807039,360.78219,405.430954,464.157604,465.605318,514.309664,519.249202,532.490682,543.0331565,566.0492385,656.0422685,658.2214005,666.0993305,669.4102735,721.2991575,738.6317775,770.5875776
"47",148.633087,155.77128,174.124097,213.871341,222.783447,224.538765,228.322488,232.551874,243.442972,254.676397,266.49129,311.963212,320.392942,333.681682,350.297702,362.653464,410.268065,443.9598335,448.2163935,503.2759165,508.2179785,521.6581089,528.9303485,556.3638595,638.497084,640.135343,660.972052,663.243259,704.2424495,721.4637995,735.5522765
"48",146.793929,151.35761,166.194114,200.821114,206.980716,212.279114,226.188457,231.703175,241.158389,260.173229,273.814664,305.4379745,320.5002145,337.5561145,361.0295975,364.5124515,395.9698605,437.0583115,441.6594855,509.4645295,511.0779165,524.0438005,536.8971485,554.5400755,631.7275545,635.2262205,660.9750085,663.7686825,699.3081855,712.7362395,732.0746305
"49",125.358812,128.4596048,139.859913,164.601757,172.092491,177.291963,188.632351,191.900403,201.973568,219.014488,229.716163,289.854888,309.353193,316.811583,336.208144,343.255553,405.350163,446.697231,449.224365,510.772955,517.646363,532.168513,541.00244,567.91627,646.84741595,647.71236895,661.05240095,667.94163095,712.53851095,726.68336095,749.97196895
"50",140.507405,153.75273,163.98324,184.921505,205.022846,209.88529,224.62401,231.426042,236.545535,246.262245,258.496799,312.438515,326.419742,337.315952,348.303898,353.290885,402.112717,450.861511,454.556105,507.647069,512.0251898,524.417967,540.630621,579.968777,640.7130745,641.3943325,661.3658745,666.5901745,708.6613495,733.7430875,760.6661435
"51",160.107253,169.767215,175.010678,205.077523,224.857763,226.199857,235.492413,242.025521,248.324783,255.618201,266.350215,308.243648,324.099573,333.228253,343.6318,360.435678,394.181302,435.200887,438.551346,498.056672,505.191886,519.821992,533.655397,563.102449,650.132125,652.982669,665.27271,669.254665,703.919905,712.600163,764.22574
"52",146.231510365,158.835310365,165.797300365,194.760880365,204.209492865,207.233707865,211.413750865,214.451876865,221.399728865,228.487640865,238.471730865,300.046357865,334.116057865,353.967927865,364.747985865,374.800307865,420.913566365,461.807980365,469.621999365,507.960247865,512.547094865,528.777566865,543.025901865,572.860166865,650.501535865,653.021166865,663.482646865,670.435596865,742.831581865,754.280826865,812.055641865
