"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"84",-7.41899,-0.699736999999995,94.8382615,104.8734815,115.4846825,131.3346215,136.3572715,143.9662675,163.1889964,168.391677,182.43763,280.3865875,285.1033585,287.7012365,313.8614255,335.2646995,372.4762265,448.595645,522.1953139,591.4297004,623.3293869
"85",-2.5803525,6.6393585,99.590347,103.88923,118.1819045,124.186377,134.495011,141.676614,160.9157456,169.6227027,176.5820145,263.5454155,274.6556075,282.1825545,312.4178795,335.218032,366.1474896,451.8950125,532.844938,600.406861,633.7279855
"86",-4.19499200000001,4.75832799999999,95.686867,101.0036217,113.0252385,116.966293,133.240873,143.364011,161.3242914,164.357041,184.722044,272.7182385,277.8012835,283.6008565,312.0468645,330.0538415,387.6994195,430.6874885,516.9468725,603.040309,636.201821
"87",-6.4488515,8.5322785,103.6893245,112.2647245,122.2430395,130.4546545,138.3507585,143.5776755,160.3935965,163.1494115,179.568961,275.5713535,284.5044235,291.2216235,308.4613415,337.9475565,380.1858245,430.494162,506.2652607,604.0372427,636.3546417
"88",-6.086786,2.82989199999999,104.050328,109.881192,120.931682,137.763453,139.3742106,143.612392,162.987932,167.38496,180.496965,277.4863615,285.8185635,291.6042555,315.5100945,339.9174965,378.8745367,454.8159555,514.6091135,593.8564943,622.2674083
"89",-2.12046700000001,8.82428699999999,100.825354,103.1974025,107.8651775,121.5800145,124.3255845,128.1144295,156.9512241,157.994347,170.494047,290.889407,294.644222,298.460701,326.8124725,349.7473725,408.5086805,468.5146015,547.4677285,632.529574,671.8003691
"90",-5.34182799999999,1.711268,103.4220155,110.891549,120.477804,133.499058,139.172688,140.819004,167.209345,168.5665333,181.8000245,276.6966755,278.8059377,282.4799765,307.9484125,331.2117765,389.541886,450.2375435,504.1768475,594.8596975,636.23968295
"91",-5.92296049999999,1.76508150000001,90.0106835,103.1183495,109.5180595,114.0191615,118.4081475,123.2929745,156.1468315,161.1670625,176.5324065,282.105112,284.7302935,293.0278385,311.430642,325.6425075,377.1512236,452.1954155,518.8394065,595.8850825,648.1677615
"92",-5.8414885,-0.333856499999995,79.829168,88.744599,95.413009,102.541668,106.1648,118.951879,156.796738,162.178243,173.061093,282.249587,284.183101,289.081428,325.456101,339.098517,376.6140717,435.9546132,511.5560682,596.8017132,632.5303372
"93",-4.84930400000001,0.302731000000002,86.598224,100.582873,107.557945,121.857554,124.3046655,132.1541609,158.702566,162.480602,173.091526,276.429334,279.625319,286.219223,312.066798,333.056014,363.3933855,445.693465,529.5702215,618.52822,652.487234
"94",-3.7036585,-0.622342999999996,96.97435,107.490071,115.3139,129.036385,134.357301,143.254328,160.297705,163.735926,175.091556,287.1469935,288.9899885,292.1330815,315.1656935,331.9052255,370.4392805,446.628383,531.1695559,600.85584,641.632439
"95",-6.22408450000001,0.744437499999997,96.3472325,108.1673255,118.0904785,132.3830375,134.5011855,140.3849395,157.9800415,162.1009775,181.2132515,275.6360395,283.4939645,287.5140445,315.7108835,337.3396505,375.485888,444.599295,524.9470095,619.775909,648.929841
"96",-4.358803,1.207512,98.332486,110.86304,117.023759,133.590236,137.334554,145.404998,158.0915695,164.0644525,178.6187445,257.0242445,269.5787645,275.6347295,302.9005985,322.2840295,367.9089945,433.9762035,529.988057,608.416651,633.2870995
"97",-4.89286265000001,2.12855935,95.19153135,104.05169035,115.72581135,131.64688135,136.11780835,140.29789535,157.27275585,161.06443085,172.97615885,278.08900885,282.65568585,286.44410825,317.36588377,342.79620565,373.30697505,438.05536405,519.67264555,593.94374805,637.73831105
"98",-4.376106,1.68907799999999,105.40180565,109.09410665,116.90716565,133.11669565,136.49783265,141.81457265,157.03384665,161.99039965,181.04586465,269.36552965,275.28734365,277.80467865,310.31594565,339.51999515,377.91664615,440.80311565,522.90772615,612.55976015,653.80047715
