"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"2389",-7.29280700000001,49.43267,133.00993,173.2367185,199.7773545,202.9550925,213.6926825,220.7058145,229.6356725,232.0059295,237.6610035,270.5034625,281.3623175,303.2306835,320.3603325,330.8123425,343.7286425,350.8537845,406.4559125,467.3285575,488.7896125,491.1756065,498.3667725,502.2306405,506.2032465,514.0030675,519.3540575,523.6271254,524.4248485,541.1225695,543.5438205,569.6415175,580.7447035,601.0976435,621.3398785,636.8811135,649.0823675,658.5735025,692.8898005,723.2867855,749.5010215
"2390",-8.05074,52.368076,133.199295,196.078463,211.13337,214.8428489,215.3656705,217.6520665,234.2521245,254.1257645,259.8016305,285.2998945,292.9691745,317.2352765,330.3177815,336.3364585,349.3896895,354.5447267,371.3848155,470.3950725,508.3185475,512.4485035,518.7190925,521.4193205,528.2731775,546.9414215,551.6254075,554.3352685,559.2235225,566.554122,567.66383,586.88362,613.909385,624.021566,638.527671,646.889996,651.768226,664.594621,694.9077285,714.5559055,736.6874415
"2391",-15.446575,47.521648,118.53869,176.238066,195.374979,196.828796,199.760141,201.251797,220.525505,229.063355,233.918055,258.139275,269.136263,309.516875,326.81103,333.916894,340.386449,344.918445,370.353982,433.718119,467.77,475.90972,487.03795,489.1346588,500.2176745,513.6218895,525.3256695,535.5877415,542.3825695,552.071752,552.74487,587.361445,599.877,619.562961,641.646185,645.3353,657.18084,666.135555,692.407704,716.6036225,735.3980885
"2392",-18.0509344,35.920518,129.060108,176.276893,189.926386,190.781374,193.726142,198.316624,212.826443,216.594243,226.244498,265.840033,276.318848,320.865618,345.822721,349.524869,358.485468,365.775348,397.219161,429.672652,465.761967,476.290727,484.931317,497.885367,504.50659,514.847374,521.05129,529.04836856,530.78719256,546.24103756,551.26248856,573.59245756,590.45273256,627.10288056,632.87944656,649.78275456,654.88266456,666.09204056,699.75385356,724.07238056,749.60409356
"2393",-23.268813,22.3914885,105.6686445,156.6872175,183.8383225,187.7852655,190.3502985,195.1764025,204.0599925,217.0098635,227.4206375,272.9227675,292.9150355,317.6134125,335.5725035,339.1569155,346.7635835,350.6687635,380.4849625,436.6270995,488.2356845,491.5346425,494.3964355,504.5825919,505.216373,515.393476,523.604186,524.745361,527.335199,545.941629,552.763259,579.264559,596.477584,618.229579,633.804254,644.114574,645.821858,658.102129,706.89788,732.771096,766.839509
"2394",-14.33977,30.481168,117.8244255,153.7696745,173.5152275,176.7674255,178.9767115,188.5699915,200.4255615,214.4139045,229.5349365,269.8473765,285.1203865,298.2364215,328.2312765,342.2188985,349.6083485,356.8159365,408.8400595,443.3581035,481.0088185,489.2898981,490.2068615,503.5801155,506.4090065,509.7775345,515.8536775,518.705535,521.179501,539.612701,544.38048,557.592673,570.287476,604.072596,627.435951,639.578151,641.72143,656.713506,683.177396,702.018971,757.193721
"2395",-17.671825,23.6022695,86.7133243,143.1038493,173.2739343,176.6709443,183.0646873,188.0302473,190.0791493,208.4800253,219.1360293,261.6316143,279.9469178,295.5750068,329.5380368,349.6496668,355.3420049,356.2991393,405.1870473,419.9897383,475.9126008,482.4439108,488.9818508,492.2690858,496.4018848,502.2913408,506.1039858,516.7773058,523.1046558,550.0672658,559.6394418,589.4302798,597.9394938,606.2575808,628.4498508,639.6722558,647.0961908,659.8044998,700.1588008,758.5723458,773.6751798
"2396",-16.678099,40.442349,101.166703,158.304075,180.966645,189.510938,193.48315,201.096544,208.042395,213.295863,225.285425,256.34721,278.02434,306.82211,337.59956,358.39981,366.195731,371.147951,428.986251,446.852717,476.857169,481.56139272,484.8045293,488.0772943,494.7282343,509.8717238,513.3415183,517.0738643,529.8099183,542.0694083,552.1755283,585.1521383,604.4661683,629.8743731,638.4860828,642.5002978,651.7645118,665.1066228,703.8340428,731.0825398,745.7449268
"2397",-13.10645,38.100999,107.678315,160.048615,183.551995,191.056203,193.3383652,196.627806,204.314201,208.293342,222.784296,261.352271,282.867637,303.091361,324.379017,345.084369,347.683855,352.479271,401.74264,430.248106,474.3025975,485.4451375,491.0103575,502.6373025,518.6168665,529.6884155,534.1695875,546.3148995,549.5175175,553.6406288,554.342725,582.15164,605.114459,614.397351,628.675556,634.685619,640.066204,652.947361,680.375919,713.141864,729.1099
"2398",-11.87818,45.5761209,121.6589105,157.4854845,187.7363755,192.9209855,196.8324515,199.0027055,203.6439955,209.0861235,224.2666155,262.004331,277.299496,307.643086,323.941815,344.272361,352.174073,357.242561,410.998933,434.8623905,460.882987,469.034137,474.944219,482.078007,487.951175,495.716817,509.856162,526.065786,530.978497,542.108099,543.16131,584.447236,593.322402,614.957565,633.351962,640.862202,643.991609,653.375402,685.327841,714.8224055,731.8284295
