depth,coarse
701,0.753536407
702,1.214979005
703,1.098644646
704,1.119051942
705,2.936538854
706,1.659159774
707,2.614696959
708,1.767732891
709,4.809898976
710,8.37977707
711,13.38010762
712,10.83160083
713,1.002285915
714,1.86480626
715,1.018883304
716,0.480538825
717,0.51010202
718,0.848961414
719,2.12345679
720,5.448002312
721,4.911263237
722,6.229956814
723,7.814633363
724,8.318106111
725,4.999411141
726,7.030636292
727,6.304061453
728,3.180729855
729,4.026378249
730,4.556945402
731,7.905994777
732,3.953879531
733,3.201921153
734,7.87198003
735,3.675317035
736,6.375486831
737,2.051123969
738,1.633806477
739,1.790663636
740,6.063345937
741,0.769434395
742,1.243725028
743,2.558803578
744,5.268142536
745,10.25481247
746,2.32795069
747,0.502943585
748,2.681409974
749,6.095291929
750,1.261452951
751,0.901015497
752,1.171165779
753,0.749246071
754,3.711322159
755,0.842628649
756,0.624896049
757,0.358995564
758,0.299604296
759,0.979741653
760,3.553128103
761,5.966527808
762,5.237043836
763,4.019972086
764,2.480801336
765,0.674132631
766,1.248671626
767,3.173197702
768,5.027483577
769,2.231823066
770,9.349514772
771,1.275703644
